video_id,questions,status,duration_sec,finish_reason
_TrCxTyakH0,"['In the opening image, what is the man riding, and what is the caption above and below him?', 'How many people are visible in the first image with the man on the broom?', 'In the image with the large seagull, is the person walking next to it disproportionately sized?']",Already Processed,0,N/A
Se8JkJUt7YE,"['How many visible steps are there at the beginning of the video?', 'What pattern is on the first pair of socks shown?', 'How many visible railings were located along the staircase?']",Already Processed,0,N/A
RBz8pTO0ySw,"['What was the shape drawn on the paper before it was cut?', 'What color was the candle used in the experiment?', 'What was used to glue the stick to the square piece of cardboard?']",Already Processed,0,N/A
fyq0pd_pFvE,"['How many dumplings were on the tray that the server initially brought to the table?', ""What brand of soda was on the server's tray?"", 'What kind of candy did the female employee give the male customer?']",Already Processed,0,N/A
FkNdEfxYYc4,"['How many different appliances were used in the setup inside of the house?', 'What color was the cup that the ball initially landed in?', 'Was the sign on the football field advertising 50 hours or 200 hours of free DVR?']",Already Processed,0,N/A
SdvMPe6XF7w,"['Were there more instances of two or three people being used to form each letter?', 'Did the woman with blonde hair ever appear on the bottom while forming any of the letters?', ""For the letter 'E', in what order did the individuals take their places?""]",Already Processed,0,N/A
rujdEa3MVYo,"['How many people are dancing in the last group at the end of the video?', 'Was there a point in the video where someone did the splits?', 'Is it accurate to say everyone was wearing a top?']",Already Processed,0,N/A
Ai4fCLMGL9Y,"['What color shirt is the individual wearing who is helping the person in the wheelchair?', 'Approximately how deep is the water in the flooded area?', 'Besides the two individuals shown, how many motorbikes are visible in the background?']",Already Processed,0,N/A
Z5jKO_Qql30,"['What were the numbers shown on the dice at the beginning of the video?', 'What color was the lighter used in the video?', 'What kind of pen was used in the video?']",Already Processed,0,N/A
yzlFm0LpRpM,"['How many water bottles did the man in his underwear use for his trick?', ""What were the colors of the first person's disc golf outfit?"", 'What color was the lip stick?']",Already Processed,0,N/A
m8tfdmm3g2A,"['Did the person on the roof say something before pouring the water?', 'How many different types of foods were showed being put into mouths?', 'What color was the balloon before it touched the Coca Cola can?']",Already Processed,0,N/A
HsXS1Qt11cU,"['What color shirt is the woman wearing when she is by the sink?', 'How many salt and pepper shakers are visible in the shot with the ""spaghetti"" cake?', 'What color is the cleaning bucket?']",Already Processed,0,N/A
lAmfy5J8iEA,"['In the first scene, was the mannequin placed there intentionally to scare people, or was it a random occurrence?', 'How many strikes did the bowler get before falling in the bowling lane?', 'What color shirt was the person wearing when they fell while attempting to hit a baseball?']",Already Processed,0,N/A
jyXFmTycx_k,"['Is the woman wearing a watch when she walks into the bathroom?', 'What color is the trash can next to the toilet?', 'How many times did the wipers move across the windshield?']",Already Processed,0,N/A
xW8pfZ5WpNQ,"['What color is the phone case?', 'Is it accurate that the car is a white Tesla?', 'What are the man and woman wearing?']",Already Processed,0,N/A
3bisVkxCA0c,"['What color were the socks worn in the Gen Z outfit?', 'How many layers of clothing are worn in the millennial outfit?', 'What type of shirt is worn underneath the sweaters in both outfits?']",Already Processed,0,N/A
_hkdNurB1Fk,"['How many construction workers are visible in the video?', 'Was Mr. Bean wearing a suit throughout the entire video, or did he change clothes at any point?', 'What color was the crane that Mr. Bean stood next to?']",Already Processed,0,N/A
85l_AvYt-XE,"['What color are the markings on the side of the obstacle wall?', 'What is written at the top of the chalkboard?', 'How many names are listed on the left side of the chalkboard?']",Already Processed,0,N/A
y5lL-l01ujA,"[""In the first room resembling Andy's room from Toy Story, what color is the bedspread?"", 'How many alphabet blocks are on the floor in the first room?', ""Is it true that the woman's jacket is cream-colored?""]",Already Processed,0,N/A
Ldcs4Venq1Q,"['How many times does the woman pick up and toss pillows from the bed?', 'What color is the car that is parked in front of the house?', 'At the dinner table, does the woman eat anything with a knife or fork?']",Already Processed,0,N/A
wsPyV3igUG4,"['What color shirt is the older man wearing?', ""At any point in the video, does the younger man handle the 'sword'?"", 'How many times does the music change in the video?']",Already Processed,0,N/A
fD02ePuiOtU,"['What color is the sofa the man is lying on?', 'What is the man wearing?', 'How many pillows does he use to cross over the water?']",Already Processed,0,N/A
FBXl4t_t0aM,"['How many layers of different liquids were added to the cup?', 'Was there any point at which the liquids mixed within the cup?', 'What tool was used to scrape the interior of the laptop?']",Success,89.71,STOP
